"Awarding Organisation","Title","Qualification Number","Status","Type","Level","Sector Subject Area","Included in performance tables","Certificates"
"1st4sport Qualifications","1st4sport Level 2 Award in Employment Awareness in Active Leisure and Learning","500/7337/0","Available to learners","Vocationally-Related Qualification","Level 2","Leisure, Travel and Tourism","No",520
"1st4sport Qualifications","1st4sport Level 3 Award in Employment Awareness in Active Leisure and Learning","500/7423/4","Available to learners","Vocationally-Related Qualification","Level 3","Leisure, Travel and Tourism","No",750
"1st4sport Qualifications","1st4sport Level 2 Award in Leadership through Football (QCF)","500/8161/5","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",100
"1st4sport Qualifications","1st4sport Level 2 Award in the Principles of Coaching Sport","500/8486/0","No longer available to new learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",815
"1st4sport Qualifications","1st4sport Level 3 Award in the Principles of Coaching Sport","500/8753/8","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",190
"1st4sport Qualifications","1st4sport Level 1 Award in the Principles of Coaching Sport","500/9004/5","No longer awarded","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",290
"1st4sport Qualifications","1st4sport Level 2 NVQ Certificate in Spectator Safety","500/9116/5","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",300
"1st4sport Qualifications","1st4sport Level 1 NVQ Award in Sport and Active Leisure","500/9169/4","No longer awarded","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Water Skiing/Wakeboarding","501/0611/9","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",60
"1st4sport Qualifications","1st4sport Level 2 NVQ Certificate in Active Leisure, Learning and Well-being Operational Services","501/0797/5","No longer available to new learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",20
"1st4sport Qualifications","1st4sport Level 2 Award in Leadership through Rugby Union (QCF)","501/1126/7","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",50
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Football (QCF)","501/1627/7","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",145
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Rugby Union","501/1817/1","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",30
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Rugby Union (QCF)","501/1858/4","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",65
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Cycling ","501/1872/9","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",250
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Cycling ","501/2063/3","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",195
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Rugby League (QCF)","501/2219/8","No longer awarded","QCF","Level 1","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 3 Certificate in Coaching Rugby League","501/2220/4","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Judo (QCF)","501/2224/1","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Rugby League (QCF)","501/2225/3","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",55
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Rounders","501/2226/5","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",50
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Rounders","501/2227/7","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Netball (QCF)","501/2228/9","No longer awarded","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",290
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Netball (QCF)","501/2229/0","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",50
"1st4sport Qualifications","1st4sport Level 3 Certificate in Coaching Netball (QCF)","501/2230/7","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 3 Certificate in Coaching Tennis","501/2248/4","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",305
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Triathlon (QCF)","501/2326/9","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Orienteering","501/2329/4","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Tennis","501/2334/8","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",1740
"1st4sport Qualifications","1st4sport Level 1 Award In Coaching Volleyball (QCF)","600/0013/2","No longer awarded","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",30
"1st4sport Qualifications","1st4sport Level 1 Award In Coaching Angling","600/0052/1","No longer awarded","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",120
"1st4sport Qualifications","1st4sport Level 1 Award In Coaching Basketball (QCF)","600/0056/9","No longer awarded","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",80
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Angling","600/0057/0","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",60
